'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2018,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 June 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2018,4.3,1.0, ,25.3,16.6,81,48,6.12,14.73
SUNSHINE COAST AIRPORT,02/05/2018,3.1,2.2, ,25.7,17.1,96,58,4.28,13.18
SUNSHINE COAST AIRPORT,03/05/2018,3.1,0.6, ,25.8,15.9,95,56,2.99,15.96
SUNSHINE COAST AIRPORT,04/05/2018,3.3,0.0, ,26.7,15.5,96,57,3.19,16.75
SUNSHINE COAST AIRPORT,05/05/2018,3.3,0.0, ,26.8,15.1,98,59,5.29,12.97
SUNSHINE COAST AIRPORT,06/05/2018,4.9,0.0, ,26.2,18.0,74,49,7.85,13.18
SUNSHINE COAST AIRPORT,07/05/2018,2.8,0.0, ,23.9,21.5,98,52,6.88,3.74
SUNSHINE COAST AIRPORT,08/05/2018,2.2,93.6, ,24.3,18.0,98,76,3.92,11.58
SUNSHINE COAST AIRPORT,09/05/2018,3.0,4.6, ,25.6,18.4,100,60,3.26,16.23
SUNSHINE COAST AIRPORT,10/05/2018,3.5,0.2, ,27.9,14.8,100,40,2.93,16.09
SUNSHINE COAST AIRPORT,11/05/2018,3.9,0.2, ,24.5,16.2,97,25,3.77,16.33
SUNSHINE COAST AIRPORT,12/05/2018,3.9,0.2, ,22.9,7.4,78,27,3.84,16.23
SUNSHINE COAST AIRPORT,13/05/2018,3.3,0.0, ,24.4,9.1,95,29,2.58,16.12
SUNSHINE COAST AIRPORT,14/05/2018,3.4,0.0, ,24.3,9.7,98,34,3.27,16.03
SUNSHINE COAST AIRPORT,15/05/2018,3.2,0.0, ,23.0,12.5,91,47,3.88,15.93
SUNSHINE COAST AIRPORT,16/05/2018,3.7,0.0, ,23.7,12.4,96,40,5.13,15.38
SUNSHINE COAST AIRPORT,17/05/2018,2.7,5.4, ,22.6,15.6,97,60,5.53,11.47
SUNSHINE COAST AIRPORT,18/05/2018,2.6,16.8, ,22.8,15.1,97,58,3.23,13.88
SUNSHINE COAST AIRPORT,19/05/2018,2.5,0.2, ,22.9,11.5,99,57,2.54,15.57
SUNSHINE COAST AIRPORT,20/05/2018,3.0,0.2, ,24.6,10.6,99,41,2.71,15.49
SUNSHINE COAST AIRPORT,21/05/2018,2.9,0.0, ,22.9,7.5,97,40,2.90,15.41
SUNSHINE COAST AIRPORT,22/05/2018,3.4,0.2, ,24.4,7.3,98,25,2.92,15.33
SUNSHINE COAST AIRPORT,23/05/2018,3.2,0.0, ,24.0,9.2,94,49,4.53,13.44
SUNSHINE COAST AIRPORT,24/05/2018,2.9,0.2, ,24.0,15.9,95,56,4.14,14.45
SUNSHINE COAST AIRPORT,25/05/2018,2.8,0.2, ,24.0,16.2,97,60,5.64,11.65
SUNSHINE COAST AIRPORT,26/05/2018,3.0,48.2, ,23.2,15.8,97,58,6.25,13.41
SUNSHINE COAST AIRPORT,27/05/2018,2.9,1.4, ,23.1,15.4,96,56,5.82,10.04
SUNSHINE COAST AIRPORT,28/05/2018,1.7,16.2, ,21.7,16.3,100,79,3.83,9.78
SUNSHINE COAST AIRPORT,29/05/2018,2.2,45.4, ,22.5,15.6,100,63,3.22,11.73
SUNSHINE COAST AIRPORT,30/05/2018,3.0,0.2, ,24.7,13.3,100,42,3.08,14.79
SUNSHINE COAST AIRPORT,31/05/2018,3.3,0.0, ,21.9,6.6,86,29,3.59,14.74
Totals:,,97,237.2, ,,,,,, 
