'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/07/2018,1.0,0.2, ,21.1,13.6,100,87,2.10,5.85
SUNSHINE COAST AIRPORT,02/07/2018,2.3,0.4, ,21.8,15.6,99,65,3.95,14.19
SUNSHINE COAST AIRPORT,03/07/2018,2.8,3.2, ,22.1,13.6,100,46,3.89,14.42
SUNSHINE COAST AIRPORT,04/07/2018,2.9,0.0, ,23.5,12.6,95,60,5.72,14.12
SUNSHINE COAST AIRPORT,05/07/2018,1.5,6.0, ,22.5,15.8,100,86,2.97,10.50
SUNSHINE COAST AIRPORT,06/07/2018,1.7,6.8, ,22.5,18.4,99,80,3.48,10.51
SUNSHINE COAST AIRPORT,07/07/2018,2.8,3.4, ,24.8,17.5,100,39,3.50,9.75
SUNSHINE COAST AIRPORT,08/07/2018,3.7,2.2, ,20.8,6.9,77,24,4.25,14.65
SUNSHINE COAST AIRPORT,09/07/2018,2.7,0.2, ,20.2,4.8,96,37,3.20,14.70
SUNSHINE COAST AIRPORT,10/07/2018,2.6,0.0, ,20.3,8.8,92,55,5.02,12.98
SUNSHINE COAST AIRPORT,11/07/2018,1.9,0.8, ,19.4,13.6,98,71,5.04,10.79
SUNSHINE COAST AIRPORT,12/07/2018,2.2,60.2, ,21.5,14.1,100,65,3.59,14.27
SUNSHINE COAST AIRPORT,13/07/2018,3.0,0.2, ,21.4,9.3,100,24,3.05,14.92
SUNSHINE COAST AIRPORT,14/07/2018,2.7,0.0, ,19.8,4.9,96,28,2.70,14.98
SUNSHINE COAST AIRPORT,15/07/2018,2.3,0.2, ,20.0,5.5,98,46,2.67,14.04
SUNSHINE COAST AIRPORT,16/07/2018,2.8,0.0, ,22.5,8.1,99,39,3.09,15.07
SUNSHINE COAST AIRPORT,17/07/2018,3.0,0.2, ,21.3,4.5,96,23,2.75,15.17
SUNSHINE COAST AIRPORT,18/07/2018,2.9,0.0, ,22.7,6.0,98,32,2.65,15.21
SUNSHINE COAST AIRPORT,19/07/2018,3.1,0.2, ,22.7,4.8,99,38,3.59,15.25
SUNSHINE COAST AIRPORT,20/07/2018,3.4,0.0, ,23.9,9.4,98,39,4.33,13.37
SUNSHINE COAST AIRPORT,21/07/2018,3.2,0.2, ,19.2,9.8,89,25,3.76,15.40
SUNSHINE COAST AIRPORT,22/07/2018,2.6,0.0, ,21.1,8.0,96,49,3.58,14.07
SUNSHINE COAST AIRPORT,23/07/2018,2.3,0.0, ,20.9,6.8,100,48,2.24,14.33
SUNSHINE COAST AIRPORT,24/07/2018,3.2,0.2, ,23.9,7.5,100,42,3.56,15.55
SUNSHINE COAST AIRPORT,25/07/2018,2.9,0.0, ,24.5,11.7,100,45,3.32,12.40
SUNSHINE COAST AIRPORT,26/07/2018,2.6,0.2, ,22.9,12.6,100,52,2.57,15.74
SUNSHINE COAST AIRPORT,27/07/2018,3.2,0.4, ,24.3,9.9,100,47,3.88,15.84
SUNSHINE COAST AIRPORT,28/07/2018,3.1,0.0, ,24.7,10.5,99,50,3.60,15.89
SUNSHINE COAST AIRPORT,29/07/2018,3.1,0.2, ,24.6,10.4,100,51,3.88,15.55
SUNSHINE COAST AIRPORT,30/07/2018,3.6,0.0, ,24.2,13.2,100,21,3.07,16.12
SUNSHINE COAST AIRPORT,31/07/2018,3.2,0.0, ,21.4,4.6,97,25,2.92,16.21
Totals:,,84.3,85.4, ,,,,,, 
