'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/08/2018,3.0,0.2, ,22.0,7.2,100,36,3.00,16.33
SUNSHINE COAST AIRPORT,02/08/2018,3.0,0.2, ,22.5,7.0,100,46,3.52,16.32
SUNSHINE COAST AIRPORT,03/08/2018,2.7,0.0, ,22.2,7.8,99,48,2.73,15.86
SUNSHINE COAST AIRPORT,04/08/2018,3.2,0.0, ,24.3,10.8,100,48,3.68,15.89
SUNSHINE COAST AIRPORT,05/08/2018,2.7,0.0, ,23.6,9.4,100,63,3.15,16.67
SUNSHINE COAST AIRPORT,06/08/2018,3.8,0.2, ,26.4,14.2,100,48,5.07,15.40
SUNSHINE COAST AIRPORT,07/08/2018,2.9,0.0, ,22.6,13.9,96,23,2.45,10.42
SUNSHINE COAST AIRPORT,08/08/2018,3.2,0.0, ,20.6,3.6,97,24,2.85,17.02
SUNSHINE COAST AIRPORT,09/08/2018,3.6,0.0, ,21.5,4.8,99,24,3.39,17.16
SUNSHINE COAST AIRPORT,10/08/2018,3.2,0.0, ,22.4,9.8,98,49,4.25,15.70
SUNSHINE COAST AIRPORT,11/08/2018,2.9,0.0, ,23.2,8.7,100,51,2.81,16.75
SUNSHINE COAST AIRPORT,12/08/2018,4.6,0.2, ,25.9,10.8,100,19,4.01,17.29
SUNSHINE COAST AIRPORT,13/08/2018,3.5,0.0, ,19.8,7.6,95,23,3.64,17.53
SUNSHINE COAST AIRPORT,14/08/2018,3.1,0.0, ,20.8,3.3,99,36,3.09,17.63
SUNSHINE COAST AIRPORT,15/08/2018,4.6,0.0, ,25.6,7.1,100,25,4.28,17.76
SUNSHINE COAST AIRPORT,16/08/2018,5.7,0.2, ,28.5,12.1,89,15,4.60,17.86
SUNSHINE COAST AIRPORT,17/08/2018,4.5,0.0, ,26.8,10.5,92,22,3.37,18.01
SUNSHINE COAST AIRPORT,18/08/2018,3.9,0.0, ,24.3,7.7,98,25,3.20,18.13
SUNSHINE COAST AIRPORT,19/08/2018,5.4,0.0, ,24.6,8.3,99,12,5.47,18.23
SUNSHINE COAST AIRPORT,20/08/2018,5.1,0.0, ,20.9,10.5,75,11,5.45,18.38
SUNSHINE COAST AIRPORT,21/08/2018,3.9,0.0, ,20.8,1.3,91,13,3.16,18.52
SUNSHINE COAST AIRPORT,22/08/2018,4.5,0.0, ,24.6,3.3,96,10,3.16,18.61
SUNSHINE COAST AIRPORT,23/08/2018,3.2,0.0, ,22.7,4.3,98,52,3.49,18.21
SUNSHINE COAST AIRPORT,24/08/2018,3.6,0.0, ,23.4,8.4,100,46,3.94,18.52
SUNSHINE COAST AIRPORT,25/08/2018,3.9,0.0, ,23.3,12.6,93,41,4.47,16.96
SUNSHINE COAST AIRPORT,26/08/2018,2.1,9.2, ,20.8,15.2,98,65,2.95,9.70
SUNSHINE COAST AIRPORT,27/08/2018,3.7,13.6, ,23.1,8.6,99,39,3.43,19.32
SUNSHINE COAST AIRPORT,28/08/2018,3.0,0.0, ,21.1,11.5,97,60,3.93,18.21
SUNSHINE COAST AIRPORT,29/08/2018,4.5,0.2, ,25.3,8.0,100,14,3.03,19.55
SUNSHINE COAST AIRPORT,30/08/2018,3.7,0.0, ,22.7,4.8,99,36,3.15,19.68
SUNSHINE COAST AIRPORT,31/08/2018,4.6,0.0, ,25.5,7.6,100,39,5.55,18.33
Totals:,,115.3,24, ,,,,,, 
