'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/02/2019, ,0.0, , ,20.2,98,56,4.37,25.60
SUNSHINE COAST AIRPORT,02/02/2019,5.5, , ,30.3,23.8,82,57,6.55,16.80
SUNSHINE COAST AIRPORT,03/02/2019,4.8,0.0, ,28.5,24.1,83,57,5.56,14.85
SUNSHINE COAST AIRPORT,04/02/2019,4.8,2.2, ,28.9,23.2,91,61,5.72,17.94
SUNSHINE COAST AIRPORT,05/02/2019,5.5,6.4, ,29.5,22.5,96,59,6.54,23.25
SUNSHINE COAST AIRPORT,06/02/2019,5.8,21.6, ,29.4,22.3,89,62,6.88,24.76
SUNSHINE COAST AIRPORT,07/02/2019,4.8,7.2, ,29.3,21.6,94,64,7.01,18.56
SUNSHINE COAST AIRPORT,08/02/2019,4.6,23.6, ,28.6,22.3,95,71,5.38,21.51
SUNSHINE COAST AIRPORT,09/02/2019,5.7,0.6, ,29.8,21.5,98,65,3.51,28.46
SUNSHINE COAST AIRPORT,10/02/2019,5.8,0.0, ,30.8,22.1,99,64,4.62,27.71
SUNSHINE COAST AIRPORT,11/02/2019,5.8,0.0, ,29.9,25.5,84,60,4.90,23.67
SUNSHINE COAST AIRPORT,12/02/2019,5.8,0.0, ,30.8,22.6,96,65,5.11,27.37
SUNSHINE COAST AIRPORT,13/02/2019,5.8,2.2, ,31.3,22.0,98,68,5.39,28.38
SUNSHINE COAST AIRPORT,14/02/2019,5.4,0.0, ,31.1,24.9,90,64,8.97,17.50
SUNSHINE COAST AIRPORT,15/02/2019,6.3,0.4, ,29.5,23.7,80,56,9.90,18.25
SUNSHINE COAST AIRPORT,16/02/2019,7.6,0.2, ,29.5,21.9,73,43,7.65,26.34
SUNSHINE COAST AIRPORT,17/02/2019,6.9,0.0, ,29.0,21.4,74,49,6.54,26.54
SUNSHINE COAST AIRPORT,18/02/2019,6.4,0.0, ,29.6,20.3,83,47,4.84,26.29
SUNSHINE COAST AIRPORT,19/02/2019,5.4,0.0, ,29.7,19.8,94,62,3.34,26.91
SUNSHINE COAST AIRPORT,20/02/2019,5.6,0.0, ,30.3,19.9,98,60,4.60,26.72
SUNSHINE COAST AIRPORT,21/02/2019,6.3,0.0, ,31.0,25.2,86,59,8.09,22.42
SUNSHINE COAST AIRPORT,22/02/2019,7.1,12.0, ,29.9,22.3,94,43,10.06,23.30
SUNSHINE COAST AIRPORT,23/02/2019,8.4,0.0, ,29.3,21.8,61,43,9.32,25.98
SUNSHINE COAST AIRPORT,24/02/2019,6.6,0.0, ,28.4,21.0,79,48,9.57,19.66
SUNSHINE COAST AIRPORT,25/02/2019,6.1,1.0, ,27.7,20.3,85,47,9.04,19.23
SUNSHINE COAST AIRPORT,26/02/2019,4.8,5.2, ,27.5,19.6,89,52,6.28,16.07
SUNSHINE COAST AIRPORT,27/02/2019,5.4,0.0, ,27.3,18.8,83,52,5.66,21.29
SUNSHINE COAST AIRPORT,28/02/2019,7.4,0.0, ,28.7,23.2,68,41,7.04,24.58
Totals:,,160.4,82.6, ,,,,,, 
