"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2013-04-26T11:30:00,  0.4402,  1.1500,  4.2634, 11.3028, 87.0000, 23.9000
2013-04-26T12:00:00,  0.4048,  0.7400,  3.9171, 10.6830, 75.0000, 24.0500
2013-04-26T12:30:00,  0.3995,  0.8400,  3.8101, 11.3602, 77.0000, 23.9000
2013-04-26T13:00:00,  0.3746,  0.7800,  4.4606, 10.4255, 87.0000, 23.9500
2013-04-26T13:30:00,  0.3404,  0.6000,  5.4398, 10.7794, 94.0000, 23.9500
2013-04-26T14:00:00,  0.3724,  0.6400,  6.7193, 10.2632, 87.0000, 23.9000
2013-04-26T14:30:00,  0.3578,  0.6100,  6.2230,  9.3681, 99.0000, 23.9500
2013-04-26T15:00:00,  0.3318,  0.6000,  5.8036, 10.8420, 95.0000, 23.9500
2013-04-26T15:30:00,  0.3645,  0.6000,  5.1327, 11.1935, 77.0000, 23.9000
2013-04-26T16:00:00,  0.4047,  0.7500,  4.4310, 10.8232, 83.0000, 23.9500
2013-04-26T16:30:00,  0.3716,  0.6700,  3.8232, 10.8336, 85.0000, 23.9500
2013-04-26T17:00:00,  0.4026,  0.7500,  4.0863, 10.9649,102.0000, 23.8000
2013-04-26T17:30:00,  0.3749,  0.7100,  3.8702, 11.4427,105.0000, 23.9500
2013-04-26T18:00:00,  0.3858,  0.6800,  3.9352, 10.7568,106.0000, 23.9500
2013-04-26T18:30:00,  0.4046,  0.7000,  4.1177,  9.3925,122.0000, 23.9500
2013-04-26T19:00:00,  0.3744,  0.6600,  4.1270, 10.3492,106.0000, 24.0000
2013-04-26T19:30:00,  0.3934,  0.7300,  4.2281,  9.7571, 94.0000, 24.0000
2013-04-26T20:00:00,  0.4331,  0.8100,  4.6636, 10.8289,111.0000, 24.0500
2013-04-26T20:30:00,  0.4158,  0.8000,  4.5291, 11.4589, 97.0000, 24.0000
2013-04-26T21:00:00,  0.4106,  0.7500,  4.4800, 11.4364,109.0000, 24.0000
2013-04-26T21:30:00,  0.4267,  0.7500,  4.5912, 11.5445,108.0000, 23.9500
2013-04-26T22:00:00,  0.4601,  0.7400,  4.5792, 10.7674,109.0000, 24.0000
2013-04-26T22:30:00,  0.4480,  0.7100,  4.6498, 10.2813, 95.0000, 23.6500
2013-04-26T23:00:00,  0.4494,  0.8100,  4.3059, 10.8882,108.0000, 23.6500
2013-04-26T23:30:00,  0.4441,  0.7300,  4.0434, 11.3128, 97.0000, 23.7000
2013-04-27T00:00:00,  0.4581,  0.7400,  4.1058, 11.2962, 83.0000, 24.0000
2013-04-27T00:30:00,  0.4621,  0.7600,  4.0167, 11.0077, 85.0000, 23.6000
2013-04-27T01:00:00,  0.4906,  0.7800,  4.8179, 11.1518,104.0000, 23.6000
2013-04-27T01:30:00,  0.5071,  0.9400,  4.5710, 10.5968, 95.0000, 23.6000
2013-04-27T02:00:00,  0.5179,  0.8700,  4.5723,  4.7683, 87.0000, 23.7500
2013-04-27T02:30:00,  0.5414,  0.8800,  4.3516, 10.8859, 85.0000, 23.7000
2013-04-27T03:00:00,  0.5427,  0.7600,  4.4826, 10.7662, 99.0000, 23.8500
2013-04-27T03:30:00,  0.5371,  0.8000,  4.3904,  9.8467,106.0000, 23.8500
2013-04-27T04:00:00,  0.5925,  1.0300,  4.2323,  4.6941, 95.0000, 23.8000
2013-04-27T04:30:00,  0.6195,  1.1900,  4.3248,  4.7385, 60.0000, 23.7500
2013-04-27T05:00:00,  0.5660,  0.9500,  4.2464,  5.0672, 60.0000, 23.7500
2013-04-27T05:30:00,  0.6378,  1.1200,  4.2620,  5.1450, 53.0000, 23.7000
2013-04-27T06:00:00,  0.5869,  0.9400,  4.1887,  5.0377, 64.0000, 23.7000
2013-04-27T06:30:00,  0.6365,  0.9900,  4.3365,  4.6006, 68.0000, 23.7500
2013-04-27T07:00:00,  0.6105,  0.9700,  4.2799,  4.3830, 71.0000, 23.8000
2013-04-27T07:30:00,  0.6518,  1.0800,  4.2397,  5.3128, 70.0000, 23.7500
2013-04-27T08:00:00,  0.6951,  1.3400,  4.2543,  4.9773, 68.0000, 23.7500
2013-04-27T08:30:00,  0.6604,  1.0800,  4.2302,  5.6215, 68.0000, 23.7000
2013-04-27T09:00:00,  0.6855,  1.2100,  4.4214,  4.7170, 73.0000, 23.6000
2013-04-27T09:30:00,  0.7111,  1.2500,  4.4318,  4.8240, 63.0000, 23.7500
2013-04-27T10:00:00,  0.7370,  1.1200,  4.5044,  5.6461, 63.0000, 23.7000
2013-04-27T10:30:00,  0.7574,  1.3900,  4.5482,  5.3088, 60.0000, 23.8000
2013-04-27T11:00:00,  0.7651,  1.3100,  4.6574,  5.5918, 68.0000, 23.9000
2013-04-27T11:30:00,  0.8005,  1.4500,  4.6973,  5.5339, 50.0000, 23.8500
2013-04-27T12:00:00,  0.7385,  1.2600,  4.4948,  5.8488, 50.0000, 23.8500
2013-04-27T12:30:00,  0.7764,  1.3500,  4.4063,  6.1459, 50.0000, 24.0000
2013-04-27T13:00:00,  0.8476,  1.4900,  4.4707,  5.8727, 40.0000, 23.8000
2013-04-27T13:30:00,  0.9691,  1.8400,  4.7351,  5.6243, 46.0000, 23.9500
2013-04-27T14:00:00,  0.9449,  1.7300,  4.9409,  6.0473, 47.0000, 23.8500
2013-04-27T14:30:00,  0.9172,  1.4100,  5.0112,  5.8467, 36.0000, 23.9000
2013-04-27T15:00:00,  0.9328,  1.6400,  4.9501,  6.2634, 52.0000, 23.8500
2013-04-27T15:30:00,  0.9321,  1.5100,  4.8258,  5.6526, 46.0000, 23.8500
2013-04-27T16:00:00,  0.9986,  1.4400,  4.8309,  6.0170, 52.0000, 23.9000
2013-04-27T16:30:00,  0.9308,  1.7200,  4.5447,  6.3869, 54.0000, 23.9000
2013-04-27T17:00:00,  0.9332,  1.4600,  4.7946,  5.6555, 50.0000, 23.9000
2013-04-27T17:30:00,  0.8588,  1.4000,  4.7848,  5.9765, 53.0000, 23.8500
2013-04-27T18:00:00,  0.9021,  1.6600,  5.0668,  5.9795, 63.0000, 23.8500
2013-04-27T18:30:00,  0.9360,  1.5800,  4.8662,  6.7008, 66.0000, 23.9000
2013-04-27T19:00:00,  0.8773,  1.7000,  4.7450,  6.3368, 57.0000, 23.9000
2013-04-27T19:30:00,  1.0027,  1.5300,  4.9824,  6.1425, 64.0000, 23.9500
2013-04-27T20:00:00,  0.9509,  1.8000,  4.9232,  6.2064, 63.0000, 23.9500
2013-04-27T20:30:00,  0.9678,  1.5400,  5.0172,  6.5416, 67.0000, 23.9500
2013-04-27T21:00:00,  1.0401,  1.7700,  5.2379,  6.8971, 64.0000, 23.9500
2013-04-27T21:30:00,  0.9922,  1.4700,  5.1334,  6.7401, 67.0000, 23.9500
2013-04-27T22:00:00,  1.0028,  1.8500,  5.0650,  6.2521, 70.0000, 24.0500
2013-04-27T22:30:00,  0.9967,  1.5900,  5.0472,  5.6370, 64.0000, 23.9500
2013-04-27T23:00:00,  0.9702,  1.6300,  5.1041,  6.5508, 70.0000, 23.9000
2013-04-27T23:30:00,  1.0263,  1.8500,  5.3005,  6.6112, 63.0000, 23.9500
2013-04-28T00:00:00,  0.9781,  1.5700,  5.2518,  6.7735, 66.0000, 23.9000
2013-04-28T00:30:00,  1.0219,  1.9300,  5.4271,  6.3550, 59.0000, 23.3000
2013-04-28T01:00:00,  0.9602,  1.4400,  5.1205,  6.5591, 52.0000, 23.5000
2013-04-28T01:30:00,  0.9922,  1.6500,  5.3985,  6.8134, 60.0000, 23.4500
2013-04-28T02:00:00,  1.0847,  1.8200,  5.8996,  7.1950, 56.0000, 23.5000
2013-04-28T02:30:00,  1.0587,  1.6000,  5.7255,  7.5626, 53.0000, 23.5000
2013-04-28T03:00:00,  1.1526,  2.2900,  6.0338,  7.5313, 45.0000, 23.5000
2013-04-28T03:30:00,  1.0673,  1.8500,  5.5662,  7.5730, 56.0000, 23.7000
2013-04-28T04:00:00,  1.0958,  1.7100,  5.8770,  6.7809, 60.0000, 23.8000
2013-04-28T04:30:00,  1.0895,  1.6500,  6.0437,  7.5400, 67.0000, 23.7500
2013-04-28T05:00:00,  1.0641,  2.1300,  5.9128,  7.3025, 52.0000, 23.7500
2013-04-28T05:30:00,  1.0024,  1.7300,  5.7633,  7.5067, 61.0000, 23.7000
2013-04-28T06:00:00,  1.0223,  1.7500,  5.6480,  7.2836, 59.0000, 23.7000
2013-04-28T06:30:00,  1.1036,  1.9700,  5.8277,  7.5865, 66.0000, 23.7000
2013-04-28T07:00:00,  1.1287,  1.8300,  5.7576,  7.1290, 70.0000, 23.7000
2013-04-28T07:30:00,  1.0923,  2.0900,  5.4788,  6.8296, 78.0000, 23.6500
2013-04-28T08:00:00,  1.1590,  2.0100,  5.9957,  7.5038, 71.0000, 23.7500
2013-04-28T08:30:00,  1.1225,  2.0400,  6.1134,  7.2634, 73.0000, 23.7000
2013-04-28T09:00:00,  1.1909,  2.2300,  6.1830,  7.4865, 71.0000, 23.7000
2013-04-28T09:30:00,  1.0777,  1.8200,  6.0712,  7.3033, 66.0000, 23.7500
2013-04-28T10:00:00,  1.0409,  2.0700,  6.1705,  7.5047, 67.0000, 23.8500
2013-04-28T10:30:00,  1.0985,  1.5600,  6.1319,  8.4471, 73.0000, 23.8500
2013-04-28T11:00:00,  1.1092,  1.9600,  5.9738,  8.1743, 67.0000, 23.9000
2013-04-28T11:30:00,  1.1042,  2.1300,  6.0627,  7.5841, 59.0000, 24.0000
2013-04-28T12:00:00,  1.1002,  1.7200,  6.1211,  8.4700, 64.0000, 23.9000
2013-04-28T12:30:00,  1.2200,  2.1900,  6.2839,  7.6691, 60.0000, 24.1500
2013-04-28T13:00:00,  1.2578,  1.8900,  6.4290,  8.3549, 54.0000, 24.0000
2013-04-28T13:30:00,  1.3371,  2.0200,  6.5149,  8.4459, 57.0000, 24.2000
2013-04-28T14:00:00,  1.2545,  1.9500,  6.4051,  8.5187, 53.0000, 24.2000
2013-04-28T14:30:00,  1.4695,  2.5200,  6.6074,  8.4939, 56.0000, 24.1000
2013-04-28T15:00:00,  1.3609,  2.1000,  6.2760,  7.9453, 50.0000, 24.1500
2013-04-28T15:30:00,  1.2943,  2.2600,  6.0797,  7.9123, 64.0000, 23.9500
2013-04-28T16:00:00,  1.2915,  1.9200,  6.3365,  8.3415, 68.0000, 23.9500
2013-04-28T16:30:00,  1.1866,  1.8800,  5.7403,  8.7178, 74.0000, 23.9000
2013-04-28T17:00:00,  1.1655,  1.8700,  6.1005,  8.2440, 74.0000, 23.8500
