Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2018 0:00,0.622,0.9,5.111,4.397,83,27.15
1/1/2018 0:30,0.596,1.06,4.859,4.739,80,27.15
1/1/2018 1:00,0.626,1.04,5.018,6.196,29,27.4
1/1/2018 1:30,0.604,1,5.064,4.942,87,26.95
1/1/2018 2:00,0.527,1.17,4.887,9.239,88,26.55
1/1/2018 2:30,0.542,0.79,5.317,9.46,67,26.6
1/1/2018 3:00,0.549,0.92,5.155,9.599,81,26.55
1/1/2018 3:30,0.534,0.9,5.193,9.305,77,26.4
1/1/2018 4:00,0.534,1.11,5.463,10.292,92,26.35
1/1/2018 4:30,0.489,0.86,5.349,9.719,88,26.3
1/1/2018 5:00,0.507,0.75,5.139,6.862,99,26.15
1/1/2018 5:30,0.517,0.86,5.219,7.625,90,26.1
1/1/2018 6:00,0.494,0.95,5.473,6.588,98,25.95
1/1/2018 6:30,0.45,0.66,5.319,8.928,88,25.95
1/1/2018 7:00,0.495,0.84,5.836,9.381,74,25.85
1/1/2018 7:30,0.453,0.7,5.679,9.769,88,25.95
1/1/2018 8:00,0.472,0.97,5.781,9.793,87,26.5
1/1/2018 8:30,0.474,0.86,5.623,10.164,81,27.2
1/1/2018 9:00,0.464,0.74,5.449,10.205,90,27.15
1/1/2018 9:30,0.489,0.79,5.107,10.261,88,27.15
1/1/2018 10:00,0.468,0.77,5.265,10.2,81,27.25
1/1/2018 10:30,0.501,0.83,4.96,10.771,85,27.1
1/1/2018 11:00,0.517,0.9,5.213,12.839,91,27.55
1/1/2018 11:30,0.532,0.91,5.43,12.84,94,27.15
1/1/2018 12:00,0.546,0.83,4.633,11.411,73,27.45
1/1/2018 12:30,0.54,0.81,4.921,9.366,92,27.55
1/1/2018 13:00,0.599,0.89,5.086,10.328,91,27.75
1/1/2018 13:30,0.595,1.01,4.454,11.61,94,27.75
1/1/2018 14:00,0.626,0.98,4.388,12.095,104,27.1
1/1/2018 14:30,0.639,1.24,4.565,11.411,106,26.2
1/1/2018 15:00,0.633,1.08,4.202,11.331,102,26.15
1/1/2018 15:30,0.665,1.27,4.139,3.871,104,26.1
1/1/2018 16:00,0.628,1.01,4.082,4.284,42,26.15
1/1/2018 16:30,0.656,1.17,4.232,10.663,102,26.1
1/1/2018 17:00,0.579,1.16,4.316,11.591,98,26.05
1/1/2018 17:30,0.516,0.85,4.502,11.652,106,26.45
1/1/2018 18:00,0.543,1.21,4.281,11.916,101,26.55
1/1/2018 18:30,0.558,0.85,4.367,9.77,113,26.45
1/1/2018 19:00,0.546,0.91,3.897,10.713,109,26.25
1/1/2018 19:30,0.59,0.96,4.19,10.366,113,26.25
1/1/2018 20:00,0.571,1.04,4.39,10.608,101,26.25
1/1/2018 20:30,0.516,0.87,4.472,10.713,108,26.25
1/1/2018 21:00,0.537,0.85,4.671,10.183,97,26.35
1/1/2018 21:30,0.513,0.82,4.711,10.782,80,26.4
1/1/2018 22:00,0.526,0.9,4.563,10.347,94,26.6
1/1/2018 22:30,0.512,0.96,5.194,10.492,91,26.55
1/1/2018 23:00,0.486,0.81,4.849,12.281,81,26.75
1/1/2018 23:30,0.546,0.91,4.739,10.299,83,26.95
1/2/2018 0:00,0.566,0.91,5.226,12.095,85,26.95
1/2/2018 0:30,0.591,0.9,5.04,9.74,90,26.85
1/2/2018 1:00,0.593,0.91,5.135,4.717,94,26.6
1/2/2018 1:30,0.598,1.01,4.918,4.395,35,26.6
1/2/2018 2:00,0.596,0.93,4.734,4.488,77,26.6
1/2/2018 2:30,0.675,1.05,4.781,4.856,32,26.55
1/2/2018 3:00,0.658,1.01,4.67,5.471,32,26.3
1/2/2018 3:30,0.72,1.19,4.718,5.083,28,26.2
1/2/2018 4:00,0.687,1.14,4.853,4.945,33,26.15
1/2/2018 4:30,0.614,1.3,5.023,4.94,38,26.25
1/2/2018 5:00,0.602,1.01,5.114,4.711,39,26.45
1/2/2018 5:30,0.62,1.03,4.882,4.941,38,26.35
1/2/2018 6:00,0.638,1.23,4.888,4.928,99,26.2
1/2/2018 6:30,0.595,1.16,4.838,5.063,30,26.15
1/2/2018 7:00,0.576,0.95,4.843,4.96,38,26.15
1/2/2018 7:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1/2/2018 8:00,0.57,0.91,4.965,4.68,40,26.25
1/2/2018 8:30,0.572,0.91,4.94,5.347,106,26.35
1/2/2018 9:00,0.588,0.93,5.14,5.207,39,26.35
1/2/2018 9:30,0.56,0.84,5.073,5.069,90,26.55
1/2/2018 10:00,0.584,0.94,4.835,5.329,36,26.55
1/2/2018 10:30,0.545,0.94,4.725,5.297,39,26.6
1/2/2018 11:00,0.587,0.96,4.971,5.835,39,26.9
1/2/2018 11:30,0.651,0.98,4.95,5.473,36,27.05
1/2/2018 12:00,0.63,1.07,4.987,5.797,28,27.35
1/2/2018 12:30,0.652,1.05,5.244,5.464,26,27.35
1/2/2018 13:00,0.664,1.19,4.986,5.348,28,27.3
1/2/2018 13:30,0.678,1.21,5.099,5.614,19,26.95
1/2/2018 14:00,0.729,1.3,5.171,5.364,28,26.55
1/2/2018 14:30,0.714,1.08,5.055,5.292,30,26.15
1/2/2018 15:00,0.641,1,5.032,5.175,38,25.95
1/2/2018 15:30,0.592,0.96,4.765,5.059,28,26.2
1/2/2018 16:00,0.605,1.2,4.88,5.135,23,26.4
1/2/2018 16:30,0.622,0.89,4.787,4.723,32,26.6
1/2/2018 17:00,0.597,1.03,4.767,4.588,26,26.55
1/2/2018 17:30,0.542,0.83,4.714,4.483,99,26.4
1/2/2018 18:00,0.539,1.12,4.577,4.717,29,26.35
1/2/2018 18:30,0.495,0.82,4.994,10.482,95,26.15
1/2/2018 19:00,0.434,0.74,4.919,10.236,98,26.15
1/2/2018 19:30,0.5,0.89,4.861,10.254,99,26.15
1/2/2018 20:00,0.52,1.17,4.777,9.834,102,26.4
1/2/2018 20:30,0.559,1.03,3.612,9.773,111,26.5
1/2/2018 21:00,0.587,0.92,4.09,3.29,105,26.3
1/2/2018 21:30,0.536,0.91,4.5,10.835,105,26.25
1/2/2018 22:00,0.521,0.81,4.052,10.598,99,26.25
1/2/2018 22:30,0.611,1.01,4.181,11.904,95,26.2
1/2/2018 23:00,0.668,1.03,4.127,6.168,95,26.35
1/2/2018 23:30,0.595,0.91,4.176,6.263,91,26.45
1/3/2018 0:00,0.603,1.01,4.169,6.133,99,26.6
1/3/2018 0:30,0.565,0.98,4.297,5.801,74,26.85
1/3/2018 1:00,0.559,0.93,4.49,5.954,80,26.9
1/3/2018 1:30,0.552,0.91,4.993,5.927,84,26.75
1/3/2018 2:00,0.527,0.86,5.38,11.509,90,26.95
1/3/2018 2:30,0.514,0.86,5.433,5.853,98,26.95
1/3/2018 3:00,0.525,0.83,5.271,5.798,74,27
1/3/2018 3:30,0.562,0.92,5.275,11.421,91,26.15
1/3/2018 4:00,0.563,1.08,5.323,11.961,94,26.1
1/3/2018 4:30,0.589,1.09,5.152,5.963,78,26.15
1/3/2018 5:00,0.597,0.94,5.039,5.478,95,26.35
1/3/2018 5:30,0.629,0.92,5.305,6.009,91,26.35
