Date/Time,Hs,Hmax,Tz,Tp,Dir_Tp TRUE,SST
2014-01-01T00:30:00,0.6211,1.01,4.6196,5.039,0,0
2014-01-01T01:00:00,0.6136,1.01,4.1473,15.9741,89.161,24
2014-01-01T01:30:00,0.6627,1.27,4.1951,7.0494,101.161,24
2014-01-01T02:00:00,0.7042,1.4,4.1625,4.2759,77.161,23.95
2014-01-01T02:30:00,0.7122,1.09,4.3272,15.9105,77.161,23.9
2014-01-01T03:00:00,0.7538,1.22,4.2748,15.9689,106.161,23.9
2014-01-01T03:30:00,0.7301,1.28,4.2156,6.1676,85.161,23.9
2014-01-01T04:00:00,0.7734,1.32,4.3615,4.0914,101.161,23.85
2014-01-01T04:30:00,0.7647,1.18,4.2206,4.0451,79.161,23.85
2014-01-01T05:00:00,0.7694,1.29,4.3549,5.6421,82.161,23.85
2014-01-01T05:30:00,0.7816,1.32,4.4207,6.5197,102.161,23.85
2014-01-01T06:00:00,0.7621,1.41,4.3065,5.6248,105.161,23.8
2014-01-01T06:30:00,0.7746,1.05,4.4357,6.9368,91.161,23.8
2014-01-01T07:00:00,0.6979,1.04,4.3239,6.5626,103.161,23.85
2014-01-01T07:30:00,0.7289,1.09,4.4076,6.491,103.161,23.85
2014-01-01T08:00:00,0.77,1.33,4.4205,6.5758,103.161,23.9
2014-01-01T08:30:00,0.732,1.24,4.1428,6.6194,101.161,23.85
2014-01-01T09:00:00,0.7312,1.24,4.2779,6.1087,108.161,23.9
2014-01-01T09:30:00,0.745,1.41,4.1981,6.3565,108.161,23.9
2014-01-01T10:00:00,0.7746,1.53,4.0684,6.7043,106.161,23.9
2014-01-01T10:30:00,0.7994,1.29,4.1911,6.5437,109.161,23.85
2014-01-01T11:00:00,0.7934,1.45,3.9769,6.8169,112.161,23.8
2014-01-01T11:30:00,0.7685,1.43,4.018,6.3559,108.161,23.85
2014-01-01T12:00:00,0.8119,1.33,4.2358,6.0776,108.161,24
2014-01-01T12:30:00,0.7654,1.3,4.2441,7.0157,103.161,24.45
2014-01-01T13:00:00,0.7346,1.22,4.2816,6.1367,106.161,24.5
2014-01-01T13:30:00,0.7193,1.32,4.1629,6.3381,103.161,24.55
2014-01-01T14:00:00,0.7253,1.2,4.3162,6.1602,109.161,24.55
2014-01-01T14:30:00,0.6896,1.07,4.1146,5.8143,106.161,24.55
2014-01-01T15:00:00,0.6897,1.19,4.5731,7.1908,98.161,24.55
2014-01-01T15:30:00,0.6262,1.09,4.2709,5.3711,112.161,24.55
2014-01-01T16:00:00,0.6761,1.16,4.4765,5.8008,105.161,24.65
2014-01-01T16:30:00,0.6125,0.98,4.2528,6.5607,95.161,24.7
2014-01-01T17:00:00,0.659,1.15,4.5565,6.1868,91.161,24.7
2014-01-01T17:30:00,0.6392,1.28,4.4125,6.7966,106.161,24.7
2014-01-01T18:00:00,0.669,1.32,4.8334,5.6425,96.161,24.75
2014-01-01T18:30:00,0.6099,0.99,4.63,13.7478,117.161,24.7
2014-01-01T19:00:00,0.6412,0.99,4.6642,6.3357,113.161,24.65
2014-01-01T19:30:00,0.6092,1.11,4.5524,5.7194,96.161,24.7
2014-01-01T20:00:00,0.6202,1.08,4.6202,6.6085,95.161,24.65
2014-01-01T20:30:00,0.6049,0.98,4.8169,5.9794,96.161,24.6
2014-01-01T21:00:00,0.6049,1.09,4.8233,5.8274,101.161,24.6
2014-01-01T21:30:00,0.6203,0.97,4.7838,6.0126,94.161,24.55
2014-01-01T22:00:00,0.5679,0.96,4.7847,5.5982,92.161,24.55
2014-01-01T22:30:00,0.5727,1.15,4.7023,5.4824,88.161,24.55
2014-01-01T23:00:00,0.583,0.96,4.8126,5.9897,85.161,24.55
2014-01-01T23:30:00,0.5573,1.1,4.7588,6.1231,94.161,24.55
2014-01-02T00:00:00,0.5588,0.93,4.8378,5.4609,99.161,24.55
2014-01-02T00:30:00,0.5852,1.05,4.966,6.3013,99.161,24.55
2014-01-02T01:00:00,0.547,0.84,4.9675,5.9749,92.161,24.55
2014-01-02T01:30:00,0.4997,0.79,4.8496,5.6396,96.161,24.5
2014-01-02T02:00:00,0.491,0.84,5.0313,5.0377,92.161,24.5
2014-01-02T02:30:00,0.5259,0.86,5.1065,5.7203,88.161,24.5
2014-01-02T03:00:00,0.5406,0.89,5.3369,5.9452,88.161,24.5
2014-01-02T03:30:00,0.5248,0.89,4.9313,6.3656,86.161,24.45
2014-01-02T04:00:00,0.5073,0.88,5.0202,5.6422,98.161,24.4
2014-01-02T04:30:00,0.5075,0.75,5.0194,6.0694,89.161,24.4
2014-01-02T05:00:00,0.536,0.88,5.2039,5.8185,99.161,24.35
2014-01-02T05:30:00,0.5097,0.95,5.1114,4.9369,92.161,24.35
2014-01-02T06:00:00,0.5136,1.06,5.0384,6.0837,92.161,24.3
2014-01-02T06:30:00,0.4816,0.75,5.0153,5.6249,92.161,24.3
2014-01-02T07:00:00,0.4863,0.83,5.3562,5.9633,84.161,24.25
2014-01-02T07:30:00,0.4685,0.86,5.3325,6.1411,86.1609,24.25
2014-01-02T08:00:00,0.4878,0.86,4.6875,6.3666,91.1609,24.25
2014-01-02T08:30:00,0.475,0.8,4.6378,6.552,96.1609,24.2
