Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2019-01-01 00:00:00,1.219,2.070,8.872,5.995,78.09,-99.9
2019-01-01 00:30:00,1.270,2.240,8.827,5.905,78.09,-99.9
2019-01-01 01:00:00,1.225,2.010,8.407,5.594,79.09,-99.9
2019-01-01 01:30:00,1.218,2.000,8.891,5.781,78.09,-99.9
2019-01-01 02:00:00,1.156,1.850,8.224,5.429,77.09,-99.9
2019-01-01 02:30:00,1.335,2.090,8.228,5.758,81.09,-99.9
2019-01-01 03:00:00,1.276,2.250,8.655,5.709,78.09,-99.9
2019-01-01 03:30:00,1.304,2.310,8.781,5.847,77.09,-99.9
2019-01-01 04:00:00,1.308,2.120,8.816,6.027,74.09,-99.9
2019-01-01 04:30:00,1.348,1.960,8.469,6.155,77.09,-99.9
2019-01-01 05:00:00,1.345,2.160,8.720,6.207,78.09,-99.9
2019-01-01 05:30:00,1.433,2.650,8.612,5.957,79.09,-99.9
2019-01-01 06:00:00,1.300,2.350,8.850,5.749,78.09,-99.9
2019-01-01 06:30:00,1.329,2.110,8.796,5.967,75.09,-99.9
2019-01-01 07:00:00,1.324,2.130,8.700,5.921,78.09,-99.9
2019-01-01 07:30:00,1.332,2.610,8.959,5.929,77.09,-99.9
2019-01-01 08:00:00,1.339,2.340,8.521,5.799,77.09,-99.9
2019-01-01 08:30:00,1.331,2.190,9.140,6.105,79.09,-99.9
2019-01-01 09:00:00,1.353,2.470,8.832,6.331,77.09,-99.9
2019-01-01 09:30:00,1.387,2.510,9.606,6.240,74.09,-99.9
2019-01-01 10:00:00,1.325,2.370,9.353,5.855,82.09,-99.9
2019-01-01 10:30:00,1.277,2.170,8.531,6.088,82.09,-99.9
2019-01-01 11:00:00,1.280,2.140,8.845,6.007,81.09,-99.9
2019-01-01 11:30:00,1.260,2.060,9.593,5.977,82.09,-99.9
2019-01-01 12:00:00,1.338,2.250,9.186,5.918,81.09,-99.9
2019-01-01 12:30:00,1.281,2.140,8.922,5.802,82.09,-99.9
2019-01-01 13:00:00,1.277,1.840,8.952,5.700,82.09,-99.9
2019-01-01 13:30:00,1.210,2.120,9.281,5.716,78.09,-99.9
2019-01-01 14:00:00,1.373,2.530,9.334,5.890,84.09,-99.9
2019-01-01 14:30:00,1.235,2.090,9.111,5.929,81.09,-99.9
2019-01-01 15:00:00,1.154,1.830,8.740,5.465,77.09,-99.9
2019-01-01 15:30:00,1.235,2.110,8.980,5.781,81.09,-99.9
2019-01-01 16:00:00,1.243,2.280,9.723,6.013,78.09,-99.9
2019-01-01 16:30:00,1.295,1.930,9.711,5.734,74.09,-99.9
2019-01-01 17:00:00,1.292,2.150,9.340,5.511,78.09,-99.9
2019-01-01 17:30:00,1.360,2.130,9.328,5.799,81.09,-99.9
2019-01-01 18:00:00,1.303,2.330,9.497,5.780,82.09,-99.9
