"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2016-01-01T00:00:00,  2.0642,  3.5100,  6.5437, 11.3216,112.1350, 24.6500
2016-01-01T00:30:00,  2.0456,  3.6400,  6.8165, 10.2784,110.1350, 24.6500
2016-01-01T01:00:00,  2.2427,  3.8000,  6.8836, 10.7757,108.1350, 24.6000
2016-01-01T01:30:00,  2.1982,  3.6000,  7.3803, 11.3751,112.1350, 24.6000
2016-01-01T02:00:00,  1.9455,  3.0100,  6.4337,  9.2826,115.1350, 24.6000
2016-01-01T02:30:00,  1.9639,  3.1800,  6.8904,  9.8204,110.1350, 24.6000
2016-01-01T03:00:00,  2.1377,  3.7200,  7.2204, 10.8289,110.1350, 24.6000
2016-01-01T03:30:00,  1.8979,  3.2800,  6.5139, 11.4393,112.1350, 24.6000
2016-01-01T04:00:00,  2.0076,  3.0400,  7.1476, 10.9217,112.1350, 24.5500
2016-01-01T04:30:00,  2.0069,  3.4700,  6.9020, 11.2225,115.1350, 24.6000
2016-01-01T05:00:00,  2.2500,  3.6700,  7.2677, 10.2665,113.1350, 24.6000
2016-01-01T05:30:00,  2.2029,  3.1500,  7.3394, 10.2698,110.1350, 24.5500
2016-01-01T06:00:00,  2.0673,  3.5800,  6.7655, 10.6797,115.1350, 24.5500
2016-01-01T06:30:00,  1.9786,  3.2000,  6.7525, 10.6753,109.1350, 24.5500
2016-01-01T07:00:00,  2.0319,  2.7700,  7.1935, 10.7369,112.1350, 24.5500
2016-01-01T07:30:00,  1.9225,  2.9700,  6.7237, 10.8622,110.1350, 24.5500
2016-01-01T08:00:00,  2.0718,  3.8700,  6.9626, 10.1399,103.1350, 24.5500
2016-01-01T08:30:00,  1.9772,  3.2100,  6.9690, 11.3846,108.1350, 24.5500
2016-01-01T09:00:00,  2.2112,  3.2100,  7.2275,  9.8163,109.1350, 24.6000
2016-01-01T09:30:00,  1.8515,  3.1600,  6.3182,  8.4773,113.1350, 24.6000
2016-01-01T10:00:00,  2.0099,  3.4100,  6.7191,  9.9109,112.1350, 24.6500
2016-01-01T10:30:00,  1.7905,  2.9200,  6.1437,  9.8984,109.1350, 24.6500
2016-01-01T11:00:00,  2.0148,  3.0900,  6.5063, 10.1185,105.1350, 24.7000
2016-01-01T11:30:00,  1.9863,  3.4100,  6.0645,  9.7897,108.1350, 24.7000
2016-01-01T12:00:00,  1.8329,  2.9400,  6.0983, 10.0284,113.1350, 24.7500
2016-01-01T12:30:00,  1.7633,  2.9300,  5.7552, 10.2635,113.1350, 24.7500
2016-01-01T13:00:00,  2.0470,  3.4300,  5.9452, 10.1425,112.1350, 24.8000
2016-01-01T13:30:00,  1.7397,  2.8900,  5.5598,  8.8508,113.1350, 24.8000
2016-01-01T14:00:00,  1.9448,  3.0600,  5.9789,  9.8293,115.1350, 24.8500
2016-01-01T14:30:00,  1.8351,  3.7300,  5.5705,  9.2791,116.1350, 24.9000
2016-01-01T15:00:00,  1.8825,  3.0000,  5.6237, 10.1465,109.1350, 24.8500
2016-01-01T15:30:00,  1.7873,  3.0100,  5.4388, 10.2810,116.1350, 24.8500
2016-01-01T16:00:00,  1.8461,  3.9300,  5.5226,  9.2625,112.1350, 24.8500
2016-01-01T16:30:00,  1.8116,  2.9000,  5.2955,  9.3404,113.1350, 24.8500
2016-01-01T17:00:00,  1.8090,  3.6200,  5.2967, 10.6922,113.1350, 24.8000
2016-01-01T17:30:00,  1.7924,  3.0000,  5.5172, 10.3803,102.1350, 24.8000
2016-01-01T18:00:00,  1.8554,  3.7900,  5.6977, 10.8519,110.1350, 24.8000
2016-01-01T18:30:00,  1.8598,  3.6900,  5.6693,  9.4283,112.1350, 24.8000
2016-01-01T19:00:00,  1.6723,  2.6600,  5.5288,  9.4743,113.1350, 24.8000
2016-01-01T19:30:00,  1.6419,  2.6300,  5.8703,  8.6285,109.1350, 24.8000
2016-01-01T20:00:00,  1.7334,  2.9200,  6.0242, 10.6377,110.1350, 24.7500
2016-01-01T20:30:00,  1.7337,  2.9600,  6.0642,  9.6922,112.1350, 24.7500
2016-01-01T21:00:00,  1.7476,  2.9600,  6.1991,  8.9341,102.1350, 24.7500
2016-01-01T21:30:00,  1.7061,  2.8100,  5.8932, 10.2795,109.1350, 24.7500
2016-01-01T22:00:00,  1.7282,  3.0900,  6.5300, 10.2576,106.1350, 24.7500
2016-01-01T22:30:00,  1.9872,  3.6000,  7.1814, 11.4367, 89.1350, 24.7500
2016-01-01T23:00:00,  1.7773,  2.7000,  7.2944, 11.8702, 88.1350, 24.7500
2016-01-01T23:30:00,  1.9264,  2.9800,  7.4679, 11.4470, 89.1350, 24.7500
2016-01-02T00:00:00,  1.9571,  2.7500,  7.5858,  9.3261, 88.1350, 24.7500
2016-01-02T00:30:00,  1.9259,  3.3100,  7.2145, 11.4001, 84.1350, 24.7500
2016-01-02T01:00:00,  1.9131,  4.0200,  7.8946, 11.3762, 91.1350, 24.7500
2016-01-02T01:30:00,  1.8349,  2.7200,  7.6142, 10.8421, 86.1350, 24.7500
2016-01-02T02:00:00,  1.8417,  3.5800,  7.3812, 11.1249, 89.1350, 24.7500
2016-01-02T02:30:00,  1.8573,  3.0700,  7.6755,  9.8145,108.1350, 24.7500
2016-01-02T03:00:00,  1.8089,  3.2500,  7.4961,  9.6457, 92.1350, 24.7500
2016-01-02T03:30:00,  1.8279,  3.3800,  7.8575, 10.1886, 99.1350, 24.7000
2016-01-02T04:00:00,  1.9167,  2.9800,  7.6433,  8.9302, 99.1350, 24.7000
2016-01-02T04:30:00,  1.7494,  3.3600,  7.3843,  9.3156, 91.1350, 24.7000
2016-01-02T05:00:00,  1.9381,  3.4100,  7.8092,  9.4603, 95.1350, 24.7000
2016-01-02T05:30:00,  1.7003,  2.8500,  7.8717, 10.7553, 99.1350, 24.7000
2016-01-02T06:00:00,  1.6958,  2.6000,  7.4512,  9.7361, 95.1350, 24.7000
2016-01-02T06:30:00,  1.7731,  2.8800,  7.8489,  9.8780, 95.1350, 24.7000
2016-01-02T07:00:00,  1.5984,  2.3100,  7.8767,  9.4695,103.1350, 24.7000
2016-01-02T07:30:00,  1.7637,  2.7800,  8.2193, 10.8451,101.1350, 24.7500
2016-01-02T08:00:00,  1.8154,  3.1200,  7.7302, 11.5363, 91.1350, 24.7500
2016-01-02T08:30:00,  1.7468,  2.7100,  7.7885,  8.8563, 88.1350, 24.8000
2016-01-02T09:00:00,  1.6963,  3.1300,  7.9453, 11.8423, 96.1350, 24.9000
2016-01-02T09:30:00,  1.5649,  2.7200,  7.4376,  9.3242, 91.1350, 24.9500
2016-01-02T10:00:00,  1.6426,  2.9500,  7.5787, 11.5063,103.1350, 25.0000
2016-01-02T10:30:00,  1.7008,  2.7400,  7.2606, 10.6711, 95.1350, 25.0500
2016-01-02T11:00:00,  1.8250,  2.7500,  7.8832, 10.9375,102.1350, 25.2000
2016-01-02T11:30:00,  1.7257,  2.6800,  7.7052, 11.5006, 99.1350, 25.1500
2016-01-02T12:00:00,  1.7289,  3.0600,  7.3442, 11.4582, 92.1350, 25.1500
2016-01-02T12:30:00,  1.6298,  2.6100,  6.6145, 10.3145, 99.1350, 25.2000
2016-01-02T13:00:00,  1.7152,  2.7400,  6.8792, 10.9912,105.1350, 25.2500
2016-01-02T13:30:00,  1.6302,  2.9200,  6.4610, 10.9439, 96.1349, 25.2000
2016-01-02T14:00:00,  1.7689,  3.6500,  6.5350, 10.3841,102.1349, 25.2000
2016-01-02T14:30:00,  1.6973,  2.6600,  6.9788,  9.7433,103.1349, 25.2500
2016-01-02T15:00:00,  1.6115,  2.8200,  6.8511, 12.0885,106.1349, 25.2500
2016-01-02T15:30:00,  1.6233,  2.6000,  6.0650, 12.0611,102.1349, 25.3000
2016-01-02T16:00:00,  1.6986,  2.6400,  6.3836, 10.7895, 94.1349, 25.3000
2016-01-02T16:30:00,  1.7471,  2.7900,  6.4798, 11.9443, 99.1349, 25.2500
