"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2015-01-01T00:00:00,  1.1364,  2.0800,  6.6727,  9.3271, 97.0000, 26.9500
2015-01-01T00:30:00,  1.1240,  1.9200,  6.3688, 10.1230, 92.0000, 26.9000
2015-01-01T01:00:00,  1.2728,  2.0700,  6.6257, 10.2040, 90.0000, 26.9000
2015-01-01T01:30:00,  1.2310,  1.8500,  6.6525,  9.7295, 99.0000, 26.9000
2015-01-01T02:00:00,  1.1512,  2.0000,  6.0310, 10.3206, 84.0000, 26.9000
2015-01-01T02:30:00,  1.2148,  1.9400,  6.4511, 10.3158, 92.0000, 26.8500
2015-01-01T03:00:00,  1.1447,  1.8000,  5.8442,  9.3713, 90.0000, 26.9000
2015-01-01T03:30:00,  1.2577,  1.8700,  6.0587,  8.2651, 84.0000, 26.8500
2015-01-01T04:00:00,  1.1613,  2.5800,  5.9873,  9.7303, 99.0000, 26.8500
2015-01-01T04:30:00,  1.2290,  2.0900,  6.1823,  9.7672, 92.0000, 26.8000
2015-01-01T05:00:00,  1.1921,  2.1500,  5.8952,  9.5167, 95.0000, 26.8000
2015-01-01T05:30:00,  1.2399,  2.1500,  6.6586,  9.6270, 95.0000, 26.8000
2015-01-01T06:00:00,  1.1461,  1.9700,  6.1445,  9.3841, 88.0000, 26.8000
2015-01-01T06:30:00,  1.1918,  1.7400,  6.1166, 10.2488, 87.0000, 26.8000
2015-01-01T07:00:00,  1.1934,  2.1200,  6.3072,  9.8342, 97.0000, 26.8500
2015-01-01T07:30:00,  1.0948,  2.0100,  6.0797,  9.6686, 94.0000, 26.8500
2015-01-01T08:00:00,  1.1125,  1.9500,  6.2498,  9.7948,101.0000, 26.9000
2015-01-01T08:30:00,  1.1680,  2.2000,  6.6678,  8.9793, 94.0000, 27.0000
2015-01-01T09:00:00,  1.0816,  1.8500,  6.3047, 10.2404, 97.0000, 27.1000
2015-01-01T09:30:00,  1.0598,  1.6400,  6.1215,  7.5306, 95.0000, 27.2000
2015-01-01T10:00:00,  1.1222,  2.4400,  6.5025, 10.4908, 98.0000, 27.2500
2015-01-01T10:30:00,  1.1862,  1.7900,  6.5256,  9.7665, 91.0000, 27.5000
2015-01-01T11:00:00,  1.0755,  1.5900,  6.1844, 10.6352, 95.0000, 27.5500
2015-01-01T11:30:00,  1.1402,  1.9100,  5.9570, 10.7151, 90.0000, 27.6500
2015-01-01T12:00:00,  1.0796,  1.8200,  6.0289,  9.0167, 84.0000, 27.7500
2015-01-01T12:30:00,  1.0913,  1.8400,  6.2368, 10.3191, 99.0000, 27.8000
2015-01-01T13:00:00,  1.0043,  1.7900,  5.8580, 10.4658, 94.0000, 27.8000
2015-01-01T13:30:00,  1.1222,  2.3100,  6.1481, 10.1595,101.0000, 27.8000
2015-01-01T14:00:00,  1.1566,  1.9400,  6.2612, 10.6851, 90.0000, 27.8500
2015-01-01T14:30:00,  1.0479,  1.4700,  5.9515,  9.8109, 94.0000, 27.8000
2015-01-01T15:00:00,  1.0798,  1.8100,  5.7962,  9.5837, 92.0000, 27.8000
2015-01-01T15:30:00,  1.0369,  1.8500,  5.6361,  9.3675, 94.0000, 27.8000
2015-01-01T16:00:00,  1.0587,  1.6100,  5.6656, 10.2474, 90.0000, 27.8000
2015-01-01T16:30:00,  1.0814,  1.7800,  5.6630,  9.7923, 97.0000, 27.8000
2015-01-01T17:00:00,  1.1211,  1.9200,  5.8630, 10.2696,102.0000, 27.7000
2015-01-01T17:30:00,  1.1342,  1.7800,  5.8216, 10.1678, 94.0000, 27.7000
2015-01-01T18:00:00,  1.1413,  2.0200,  5.7684, 10.1662,102.0000, 27.6500
2015-01-01T18:30:00,  1.1102,  1.5800,  5.6711, 10.1544, 99.0000, 27.6500
2015-01-01T19:00:00,  1.0629,  1.6700,  5.4084, 10.2750,101.0000, 27.6500
2015-01-01T19:30:00,  1.1561,  2.1300,  5.6270,  9.7899,106.0000, 27.6000
2015-01-01T20:00:00,  1.1216,  1.6700,  5.5664,  9.9390, 94.0000, 27.5500
2015-01-01T20:30:00,  1.0772,  1.9600,  5.3694, 10.7102,102.0000, 27.4500
2015-01-01T21:00:00,  1.1395,  1.8900,  5.2291, 10.5251,109.0000, 27.4000
2015-01-01T21:30:00,  0.9779,  1.6700,  5.1236,  8.7819, 92.0000, 27.3500
2015-01-01T22:00:00,  1.1493,  1.7900,  5.3343, 10.6818, 91.0000, 27.2500
