Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2017 0:00,1.163,2.04,4.433,5.548,32,26
1/1/2017 0:30,1.178,1.79,4.559,5.482,36,25.95
1/1/2017 1:00,1.157,2.17,4.45,5.216,36,25.9
1/1/2017 1:30,1.153,2.2,4.449,5.466,38,25.8
1/1/2017 2:00,1.038,1.67,4.363,4.828,50,25.75
1/1/2017 2:30,0.996,1.51,4.372,5.185,36,25.7
1/1/2017 3:00,0.922,1.56,4.287,5.09,36,25.7
1/1/2017 3:30,0.906,1.39,4.441,4.912,49,25.7
1/1/2017 4:00,0.849,1.53,4.308,5.058,40,25.65
1/1/2017 4:30,0.835,1.41,4.39,4.959,56,25.65
1/1/2017 5:00,0.85,1.39,4.396,5.324,56,25.65
1/1/2017 5:30,0.849,1.43,4.419,4.944,60,25.7
1/1/2017 6:00,0.828,1.28,4.453,4.608,54,25.75
1/1/2017 6:30,0.79,1.19,4.394,4.827,50,25.8
1/1/2017 7:00,0.815,1.47,4.473,4.941,53,25.85
1/1/2017 7:30,0.778,1.42,4.478,4.587,54,25.9
1/1/2017 8:00,0.751,1.16,4.377,5.09,52,26
1/1/2017 8:30,0.791,1.22,4.71,4.963,53,26.05
1/1/2017 9:00,0.705,1.29,4.452,5.817,50,26.15
1/1/2017 9:30,0.74,1.32,4.479,4.313,68,26.25
1/1/2017 10:00,0.719,1.19,4.452,5.625,64,26.3
1/1/2017 10:30,0.687,1.15,4.344,4.82,53,26.35
1/1/2017 11:00,0.734,1.34,4.106,5.07,59,26.4
1/1/2017 11:30,0.737,1.2,4.19,5.499,78,26.4
1/1/2017 12:00,0.713,1.38,4.121,6.366,67,26.5
1/1/2017 12:30,0.787,1.2,4.001,7.271,74,26.45
1/1/2017 13:00,0.832,1.5,4.013,5.071,56,26.45
1/1/2017 13:30,0.825,1.65,4.001,5.96,56,26.45
1/1/2017 14:00,0.954,1.52,4.008,5.34,53,26.4
1/1/2017 14:30,0.951,1.82,3.964,4.819,80,26.35
1/1/2017 15:00,1.051,1.847,4.228,6.383,63,26.3
1/1/2017 15:30,1.082,1.72,4.094,4.101,49,26.3
1/1/2017 16:00,1.07,2.45,4.202,6.557,36,26.3
1/1/2017 16:30,1.153,1.85,4.314,4.802,83,26.25
1/1/2017 17:00,1.185,2.1,4.302,4.744,54,26.25
1/1/2017 17:30,1.242,2.127,4.364,4.931,60,26.2
1/1/2017 18:00,1.287,1.9,4.483,4.867,40,26.2
1/1/2017 18:30,1.235,2.05,4.44,4.811,50,26.2
1/1/2017 19:00,1.319,2.23,4.359,4.931,46,26.15
1/1/2017 19:30,1.302,2.11,4.394,6.566,38,26.05
1/1/2017 20:00,1.245,2.09,4.372,4.93,40,26.05
1/1/2017 20:30,1.325,2.3,4.396,5.24,43,25.95
1/1/2017 21:00,1.245,2.271,4.444,5.505,52,25.95
1/1/2017 21:30,1.222,2.01,4.402,4.82,56,25.95
1/1/2017 22:00,1.239,1.99,4.438,5.334,52,25.9
1/1/2017 22:30,1.265,2.02,4.608,5.361,42,25.9
1/1/2017 23:00,1.269,2.267,4.618,5.341,49,25.9
1/1/2017 23:30,1.159,1.88,4.487,5.846,61,25.9
1/2/2017 0:00,1.203,2.11,4.666,5.517,66,25.9
1/2/2017 0:30,1.138,1.75,4.599,5.956,66,25.9
1/2/2017 1:00,1.12,1.76,4.481,5.654,60,25.9
1/2/2017 1:30,1.07,2.01,4.539,5.479,61,25.95
1/2/2017 2:00,1.1,2.33,4.598,4.958,52,25.95
1/2/2017 2:30,1.111,1.85,4.535,6.364,67,25.95
1/2/2017 3:00,1.124,1.87,4.528,6.528,66,25.95
1/2/2017 3:30,1.027,1.61,4.46,5.728,64,26
1/2/2017 4:00,0.991,1.62,4.405,5.474,67,26.05
1/2/2017 4:30,1.008,2.03,4.432,5.723,66,26
1/2/2017 5:00,0.975,1.87,4.304,5.607,61,26
1/2/2017 5:30,0.991,1.65,4.499,4.932,60,26
1/2/2017 6:00,0.934,1.5,4.515,6.223,64,26
1/2/2017 6:30,0.886,1.44,4.502,6.527,57,26
1/2/2017 7:00,0.844,1.45,4.538,5.656,61,26
1/2/2017 7:30,0.792,1.19,4.401,6.324,60,26.05
1/2/2017 8:00,0.811,1.26,4.473,5.925,61,26.05
1/2/2017 8:30,0.787,1.36,4.554,6.087,66,26.15
1/2/2017 9:00,0.763,1.34,4.431,5.586,61,26.2
1/2/2017 9:30,0.779,1.13,4.781,5.759,63,26.3
1/2/2017 10:00,0.748,1.27,4.576,6.553,66,26.35
1/2/2017 10:30,0.697,1.5,4.412,5.973,67,26.35
1/2/2017 11:00,0.685,1.25,4.312,5.974,63,26.25
1/2/2017 11:30,0.688,1.07,4.274,5.968,75,26.3
1/2/2017 12:00,0.726,1.17,4.221,6.2,61,26.35
1/2/2017 12:30,0.747,1.25,4.391,6.037,63,26.3
1/2/2017 13:00,0.73,1.21,4.094,6.544,71,26.25
1/2/2017 13:30,0.745,1.29,4.165,5.632,57,26.35
1/2/2017 14:00,0.723,1.28,4.03,5.611,59,26.35
1/2/2017 14:30,0.79,1.29,4.146,5.331,60,26.35
1/2/2017 15:00,0.766,1.33,4.077,5.984,64,26.4
1/2/2017 15:30,0.831,1.37,4.06,6.525,61,26.4
1/2/2017 16:00,0.871,1.62,3.967,6.124,60,26.4
1/2/2017 16:30,0.852,1.39,4.091,4.034,64,26.35
1/2/2017 17:00,0.855,1.51,4.015,4.292,53,26.35
1/2/2017 17:30,0.816,1.54,3.981,4.12,56,26.5
1/2/2017 18:00,0.826,1.56,3.974,5.616,46,26.55
1/2/2017 18:30,0.776,1.36,3.947,4.11,46,26.6
1/2/2017 19:00,0.746,1.14,3.939,5.171,49,26.55
1/2/2017 19:30,0.791,1.25,4.15,3.895,56,26.55
1/2/2017 20:00,0.779,1.42,4.168,5.848,46,26.5
1/2/2017 20:30,0.764,1.23,4.048,4.127,57,26.5
1/2/2017 21:00,0.759,1.5,4.18,4.628,50,26.4
1/2/2017 21:30,0.717,1.11,4.123,5.825,70,26.25
1/2/2017 22:00,0.715,1.21,4.28,4.116,60,26.2
1/2/2017 22:30,0.729,1.19,4.445,5.191,52,26.15
1/2/2017 23:00,0.693,1.17,4.421,6.216,57,26.15
1/2/2017 23:30,0.698,1.09,4.518,4.813,59,26.15
1/3/2017 0:00,0.768,1.37,3.793,6.364,59,26.1
1/3/2017 0:30,0.836,1.55,3.898,5.631,61,26.05
1/3/2017 1:00,0.887,1.55,3.882,4.054,168,26.05
1/3/2017 1:30,0.946,1.557,3.826,3.965,175,26.05
1/3/2017 2:00,1.022,1.8,3.853,4.117,174,26.05
1/3/2017 2:30,0.955,1.78,3.793,3.963,158,26.05
1/3/2017 3:00,0.87,1.57,3.655,5.959,153,26.05
1/3/2017 3:30,0.855,1.51,3.862,6.163,52,26.2
1/3/2017 4:00,0.783,1.26,3.746,6.335,54,26.15
1/3/2017 4:30,0.736,1.33,3.756,6.411,43,26.15
1/3/2017 5:00,0.729,1.23,3.717,6.526,45,26.05
1/3/2017 5:30,0.738,1.55,3.639,3.253,67,26
1/3/2017 6:00,0.765,1.16,3.744,3.424,52,25.95
1/3/2017 6:30,0.729,1.51,3.569,3.411,177,25.95
1/3/2017 7:00,0.8,1.27,3.812,3.956,187,25.9
1/3/2017 7:30,0.799,1.63,3.891,4.141,171,25.8
1/3/2017 8:00,0.766,1.35,3.924,4.383,173,25.8
1/3/2017 8:30,0.703,1.17,3.965,4.504,167,25.8
1/3/2017 9:00,0.723,1.28,3.931,6.357,153,25.8
1/3/2017 9:30,0.75,1.25,4.084,4.592,59,25.8
1/3/2017 10:00,0.774,1.34,4.087,3.76,149,25.85
1/3/2017 10:30,0.77,1.59,4.041,4.564,56,25.95
1/3/2017 11:00,0.829,1.38,3.983,4.941,171,26
1/3/2017 11:30,0.892,1.51,4.318,4.714,182,25.85
1/3/2017 12:00,0.915,1.49,4.092,4.704,174,25.9
1/3/2017 12:30,1.029,1.8,4.224,4.501,146,25.9
1/3/2017 13:00,1.036,1.8,4.008,4.497,161,25.75
1/3/2017 13:30,1.061,2.07,3.937,4.206,146,25.65
1/3/2017 14:00,1.151,1.84,3.889,4.042,143,25.7
1/3/2017 14:30,1.088,1.73,3.915,3.808,146,25.7
1/3/2017 15:00,0.994,1.828,3.945,5.73,64,25.75
1/3/2017 15:30,0.893,1.9,3.999,6.093,63,25.8
1/3/2017 16:00,1.037,1.69,4.012,4.818,57,25.85
1/3/2017 16:30,1.056,1.97,4.071,6.151,60,25.8
1/3/2017 17:00,1.086,1.81,4.066,6.134,70,25.7
1/3/2017 17:30,1.065,2.12,3.963,4.582,70,25.8
1/3/2017 18:00,1.179,2.29,3.897,5.804,74,25.75
1/3/2017 18:30,1.148,1.98,4.102,5.978,75,25.7
1/3/2017 19:00,1.139,1.83,4.409,5.078,73,25.6
1/3/2017 19:30,1.211,1.9,4.23,5.679,105,25.9
1/3/2017 20:00,1.249,2.07,4.211,6.352,81,25.95
1/3/2017 20:30,1.341,2.29,4.428,5.478,99,25.95
1/3/2017 21:00,1.334,2.73,4.309,5.085,95,25.95
1/3/2017 21:30,1.42,2.887,4.489,6.308,119,26.05
1/3/2017 22:00,1.357,2.26,4.501,5.065,99,26.05
1/3/2017 22:30,1.38,2.6,4.548,5.479,105,26.05
1/3/2017 23:00,1.341,2.18,4.258,4.731,102,26.05
1/3/2017 23:30,1.409,2.23,4.686,5.398,113,26
1/4/2017 0:00,1.512,2.3,4.6,5.733,91,26
1/4/2017 0:30,1.496,2.91,4.651,5.806,97,26
1/4/2017 1:00,1.458,2.86,4.725,6.127,98,26
1/4/2017 1:30,1.434,2.34,4.45,5.771,101,25.95
1/4/2017 2:00,1.537,2.49,4.594,6.777,101,25.95
1/4/2017 2:30,1.443,2.236,4.552,6.618,95,25.95
1/4/2017 3:00,1.264,2.37,4.605,6.574,90,25.95
1/4/2017 3:30,1.269,2.04,4.392,5.062,80,25.95
1/4/2017 4:00,1.248,2.26,4.52,5.974,87,25.95
1/4/2017 4:30,1.199,1.96,4.285,5.938,91,25.95
1/4/2017 5:00,1.187,2.124,4.473,6.774,94,25.95
1/4/2017 5:30,1.146,1.8,4.269,7.046,67,25.95
1/4/2017 6:00,1.237,2.04,4.332,6.833,80,26
1/4/2017 6:30,1.127,2.09,4.364,6.192,68,26.05
1/4/2017 7:00,1.144,1.949,4.141,6.966,56,26
1/4/2017 7:30,1.245,1.95,4.495,7.015,73,26
1/4/2017 8:00,1.224,1.98,4.347,6.98,66,26
1/4/2017 8:30,1.145,1.87,4.338,7.017,77,26
1/4/2017 9:00,1.211,1.76,4.356,6.825,90,25.95
1/4/2017 9:30,1.2,2.28,4.449,6.797,70,25.95
1/4/2017 10:00,1.19,1.97,4.337,7.331,78,25.95
1/4/2017 10:30,1.261,2.37,4.432,6.348,136,25.95
1/4/2017 11:00,1.312,2.39,4.456,6.943,66,25.95
1/4/2017 11:30,1.269,2.153,4.474,6.402,60,25.95
1/4/2017 12:00,1.281,2.3,4.57,6.572,77,26
1/4/2017 12:30,1.322,2.48,4.527,7.275,68,26
1/4/2017 13:00,1.277,2.218,4.5,7.331,73,26
1/4/2017 13:30,1.313,2.16,4.534,7.194,68,26.1
1/4/2017 14:00,1.364,2.45,4.511,7.231,57,26.15
1/4/2017 14:30,1.282,2.21,4.329,7.492,66,26.15
1/4/2017 15:00,1.276,2.41,4.417,7.39,57,26.15
1/4/2017 15:30,1.186,1.83,4.362,7.181,67,26.1
1/4/2017 16:00,1.227,2.22,4.36,7.008,77,26.1
1/4/2017 16:30,1.314,2.394,4.381,7.284,68,26.1
1/4/2017 17:00,1.206,2,4.284,7.342,68,26.05
1/4/2017 17:30,1.22,1.99,4.39,4.696,66,26.1
1/4/2017 18:00,1.152,1.93,4.448,7.235,78,26.1
1/4/2017 18:30,1.221,2.104,4.431,7.03,80,26.15
1/4/2017 19:00,1.24,2.04,4.382,7.286,73,26.15
1/4/2017 19:30,1.071,1.956,4.253,7.045,71,26.1
1/4/2017 20:00,1.103,1.6,4.258,7.27,84,26.15
1/4/2017 20:30,1.171,1.87,4.444,7.178,97,26.15
1/4/2017 21:00,1.119,1.81,4.46,7.379,84,26.15
1/4/2017 21:30,1.14,2,4.33,5.798,95,26.1
1/4/2017 22:00,1.197,1.97,4.444,6.202,84,26.1
1/4/2017 22:30,1.173,2.36,4.428,6.769,83,26.05
1/4/2017 23:00,1.148,2.13,4.439,5.968,90,26.05
1/4/2017 23:30,1.225,1.9,4.45,6.957,91,26.05
1/5/2017 0:00,1.141,2.26,4.346,6.391,94,26.05
1/5/2017 0:30,1.167,2.2,4.483,6.936,91,26
1/5/2017 1:00,1.081,1.71,4.676,6.793,87,25.95
1/5/2017 1:30,1.096,1.93,4.682,6.824,88,25.95
1/5/2017 2:00,1.138,1.81,4.77,6.915,80,25.9
1/5/2017 2:30,1.133,1.68,4.367,6.528,94,25.9
1/5/2017 3:00,1.221,1.87,4.479,7.083,97,25.9
1/5/2017 3:30,1.117,2.02,4.24,6.561,83,25.9
1/5/2017 4:00,1.108,1.85,4.254,7.15,78,25.9
1/5/2017 4:30,1.082,1.61,4.172,6.801,75,25.9
1/5/2017 5:00,1.011,1.76,4.149,6.997,71,25.95
1/5/2017 5:30,0.95,1.72,4.109,6.785,73,25.95
1/5/2017 6:00,0.955,1.71,4.304,6.799,67,25.9
1/5/2017 6:30,0.942,1.47,4.391,7.214,77,25.85
1/5/2017 7:00,0.894,1.47,4.279,7.239,81,25.85
1/5/2017 7:30,0.874,1.56,4.484,7.259,66,25.8
1/5/2017 8:00,0.748,1.36,4.207,6.805,73,25.75
1/5/2017 8:30,0.827,1.32,4.424,6.941,75,25.8
1/5/2017 9:00,0.824,1.15,4.644,6.565,73,25.75
1/5/2017 9:30,0.806,1.33,4.493,6.807,71,25.8
1/5/2017 10:00,0.904,1.41,5.083,6.778,73,25.85
1/5/2017 10:30,0.888,1.72,4.967,6.803,66,25.9
1/5/2017 11:00,0.972,1.62,5.072,6.959,61,25.95
1/5/2017 11:30,0.931,1.58,4.631,6.804,73,25.85
1/5/2017 12:00,0.935,1.66,4.76,7.258,63,25.8
1/5/2017 12:30,0.982,1.76,4.873,7.162,67,25.9
1/5/2017 13:00,0.938,1.71,4.495,6.803,63,25.9
1/5/2017 13:30,0.932,1.47,4.644,7.533,49,25.85
1/5/2017 14:00,0.906,1.52,4.629,7.17,61,25.85
1/5/2017 14:30,0.966,1.69,5.001,6.575,57,26
1/5/2017 15:00,0.93,1.67,4.887,7.036,60,26
1/5/2017 15:30,0.921,1.73,4.8,6.809,64,26.05
1/5/2017 16:00,0.797,1.39,4.252,7.851,70,26.05
1/5/2017 16:30,0.792,1.51,4.2,7.261,60,26.1
1/5/2017 17:00,0.831,1.3,4.347,7.024,64,26.15
1/5/2017 17:30,0.846,1.5,4.416,7.025,59,26.2
1/5/2017 18:00,0.847,1.38,4.452,6.978,70,26.2
1/5/2017 18:30,0.856,1.41,4.527,6.732,54,26.2
1/5/2017 19:00,0.924,1.52,4.421,7.092,54,26.2
1/5/2017 19:30,0.901,1.56,4.2,6.707,63,26.15
1/5/2017 20:00,0.927,1.54,4.247,7.528,60,26.15
1/5/2017 20:30,0.926,1.84,4.299,7.845,47,26.15
1/5/2017 21:00,0.951,1.45,4.571,7.232,61,26.15
1/5/2017 21:30,0.923,1.64,4.337,7.293,60,26.1
1/5/2017 22:00,0.949,1.56,4.455,6.84,61,26.05
1/5/2017 22:30,0.91,1.49,4.258,7.906,75,26.05
1/5/2017 23:00,0.944,1.84,4.303,6.569,85,25.95
1/5/2017 23:30,0.982,1.58,4.457,7.595,70,25.95
1/6/2017 0:00,0.933,1.45,4.714,6.688,60,25.9
1/6/2017 0:30,0.863,1.43,4.58,6.636,68,25.9
1/6/2017 1:00,0.962,1.56,4.683,7.247,70,26
1/6/2017 1:30,0.951,1.7,4.314,6.999,71,26.05
1/6/2017 2:00,0.978,1.45,4.373,7.162,80,26.05
1/6/2017 2:30,0.909,1.67,4.285,6.76,77,26.05
1/6/2017 3:00,0.946,1.48,4.404,7.531,73,26.05
1/6/2017 3:30,0.988,1.49,4.414,6.993,67,26.05
1/6/2017 4:00,0.941,1.61,4.414,7.202,68,26.05
1/6/2017 4:30,0.955,1.52,4.314,6.365,64,26.05
1/6/2017 5:00,0.98,1.57,4.408,6.788,71,26.05
1/6/2017 5:30,0.977,1.96,4.38,6.823,61,26
1/6/2017 6:00,1.022,1.87,4.254,7.345,64,26.05
1/6/2017 6:30,1.006,1.99,4.474,6.953,63,26.05
1/6/2017 7:00,0.955,1.89,4.504,7.516,61,26.05
1/6/2017 7:30,0.971,1.47,4.76,6.994,68,26.15
1/6/2017 8:00,0.864,1.43,4.611,6.278,61,26.15
1/6/2017 8:30,0.883,1.33,4.471,6.202,63,26.25
1/6/2017 9:00,0.895,1.77,4.285,6.42,70,26.25
1/6/2017 9:30,0.839,1.57,4.53,6.013,66,26.25
1/6/2017 10:00,0.835,1.52,4.585,6.37,74,26.2
1/6/2017 10:30,0.897,1.37,4.641,6.542,84,26.3
1/6/2017 11:00,0.898,1.39,4.705,6.147,56,26.3
1/6/2017 11:30,0.86,1.53,4.44,5.614,70,26.3
1/6/2017 12:00,0.856,1.31,4.369,7.558,73,26.3
1/6/2017 12:30,0.861,1.54,4.58,7.027,63,26.3
1/6/2017 13:00,0.881,1.44,4.521,7.492,71,26.3
1/6/2017 13:30,0.909,1.44,4.729,6.138,87,26.35
1/6/2017 14:00,0.906,1.4,4.588,7.458,71,26.3
1/6/2017 14:30,0.88,1.42,4.733,7.071,70,26.2
1/6/2017 15:00,0.853,1.31,4.848,7.277,84,26.2
1/6/2017 15:30,0.907,1.49,4.856,7.554,68,26.25
1/6/2017 16:00,0.896,1.51,4.707,6.783,70,26.25
1/6/2017 16:30,0.857,1.49,4.486,6.814,61,26.25
1/6/2017 17:00,0.962,1.41,4.621,7.312,56,26.2
1/6/2017 17:30,0.874,1.48,4.375,7.002,73,26.2
1/6/2017 18:00,0.971,1.67,4.636,6.679,70,26.2
1/6/2017 18:30,0.916,1.59,4.362,6.994,53,26.2
1/6/2017 19:00,0.963,1.42,4.472,6.557,53,26.25
1/6/2017 19:30,0.954,1.5,4.323,6.882,64,26.3
1/6/2017 20:00,0.976,1.41,4.416,6.547,66,26.35
1/6/2017 20:30,1.052,1.82,4.395,6.946,68,26.3
1/6/2017 21:00,1.079,1.61,4.375,7.809,75,26.3
1/6/2017 21:30,1.132,1.77,4.461,7.28,90,26.25
1/6/2017 22:00,1.156,1.824,4.374,6.33,78,26.25
1/6/2017 22:30,1.164,1.68,4.508,4.513,67,26.25
1/6/2017 23:00,1.211,1.96,4.542,6.825,95,26.25
1/6/2017 23:30,1.24,2.47,4.54,6.558,74,26.25
1/7/2017 0:00,1.315,2.136,4.797,6.385,78,26.15
1/7/2017 0:30,1.233,1.94,4.293,5.34,81,26.15
1/7/2017 1:00,1.317,2.01,4.692,7.097,95,26.15
1/7/2017 1:30,1.283,2.15,4.477,6.014,80,26.05
1/7/2017 2:00,1.402,2.35,4.835,5.668,84,26.1
1/7/2017 2:30,1.242,2.09,4.602,6.546,95,26.15
1/7/2017 3:00,1.285,2.23,4.656,6.169,88,26.15
1/7/2017 3:30,1.331,2.33,4.656,5.972,85,26.05
1/7/2017 4:00,1.416,3.01,4.707,5.798,98,25.95
1/7/2017 4:30,1.509,2.188,4.807,6.174,88,25.95
1/7/2017 5:00,1.594,2.47,4.873,6.574,88,25.9
1/7/2017 5:30,1.622,2.65,4.896,6.169,92,25.9
1/7/2017 6:00,1.77,2.99,5.112,6.177,97,25.9
1/7/2017 6:30,1.616,2.735,4.979,6.162,90,25.9
1/7/2017 7:00,1.607,2.51,4.864,6.952,94,25.9
1/7/2017 7:30,1.507,2.5,4.772,6.587,88,25.9
1/7/2017 8:00,1.589,2.781,5.1,6.708,83,25.95
1/7/2017 8:30,1.529,2.7,5.02,7.524,91,25.95
1/7/2017 9:00,1.589,2.596,5.217,7.564,81,26
1/7/2017 9:30,1.48,2.51,4.917,7.011,85,26.05
1/7/2017 10:00,1.456,2.22,5.091,7.552,84,26.05
1/7/2017 10:30,1.563,2.61,4.924,7.551,90,26.05
1/7/2017 11:00,1.45,2.24,4.882,7.865,90,26.05
1/7/2017 11:30,1.512,2.43,5.045,7.871,91,26.05
